[14:18:12:517 @53 pool-2-thread-2: File path is input/reviews/SanFrancisco/review11523.json
[14:18:12:517 @53 pool-2-thread-3: File path is input/reviews/SanFrancisco/review8647196.json
[14:18:12:521 @53 pool-2-thread-1: File path is input/reviews/SanFrancisco/review791769.json
[14:18:12:524 @53 pool-2-thread-3: File path is input/reviews/SanFrancisco/review891239.json
[14:18:12:524 @53 pool-2-thread-2: File path is input/reviews/SanFrancisco/review5361249.json
[14:18:12:526 @53 pool-2-thread-2: File path is input/reviews/SanFrancisco/review856888.json
[14:18:12:528 @53 pool-2-thread-1: File path is input/reviews/SanFrancisco/review5875.json
[14:18:12:531 @53 pool-2-thread-3: File path is input/reviews/SanFrancisco/review23406.json
[14:18:12:531 @53 pool-2-thread-2: File path is input/reviews/SanFrancisco/review287112.json
[14:18:12:544 @53 pool-2-thread-2: File path is input/reviews/SanFrancisco/review17616.json
[14:18:12:546 @53 pool-2-thread-1: File path is input/reviews/SanFrancisco/review2406.json
[14:18:12:551 @53 pool-2-thread-2: File path is input/reviews/SanFrancisco/review23774.json
[14:18:12:554 @53 pool-2-thread-3: File path is input/reviews/SanFrancisco/review5984.json
[14:18:12:554 @53 pool-2-thread-1: File path is input/reviews/SanFrancisco/review13950.json
[14:18:12:558 @53 pool-2-thread-2: File path is input/reviews/SanFrancisco/review1146383.json
[14:18:12:561 @53 pool-2-thread-1: File path is input/reviews/SanFrancisco/review14451.json
[14:18:12:561 @53 pool-2-thread-3: File path is input/reviews/SanFrancisco/review27274.json
[14:18:12:561 @53 pool-2-thread-2: File path is input/reviews/SanFrancisco/review438727.json
[14:18:12:567 @53 pool-2-thread-2: File path is input/reviews/SanFrancisco/review14781.json
[14:18:12:568 @53 pool-2-thread-3: File path is input/reviews/SanFrancisco/review283107.json
[14:18:12:570 @53 pool-2-thread-1: File path is input/reviews/SanFrancisco/review19035.json
[14:18:12:572 @53 pool-2-thread-2: File path is input/reviews/SanFrancisco/review5045.json
[14:18:12:572 @53 pool-2-thread-3: File path is input/reviews/SanFrancisco/review26760.json
[14:18:12:578 @53 pool-2-thread-3: File path is input/reviews/SanFrancisco/review16552.json
[14:18:12:578 @53 pool-2-thread-2: File path is input/reviews/SanFrancisco/review22148.json
[14:18:12:579 @53 pool-2-thread-1: File path is input/reviews/SanFrancisco/review9043627.json
[14:18:12:581 @53 pool-2-thread-1: File path is input/reviews/SanFrancisco/review855749.json
[14:18:12:584 @53 pool-2-thread-2: File path is input/reviews/SanFrancisco/review437098.json
[14:18:12:585 @53 pool-2-thread-3: File path is input/reviews/SanFrancisco/review894295.json
[14:18:12:588 @53 pool-2-thread-1: File path is input/reviews/SanFrancisco/review519729.json
[14:18:12:590 @53 pool-2-thread-2: File path is input/reviews/SanFrancisco/review23581.json
[14:18:12:590 @53 pool-2-thread-3: File path is input/reviews/SanFrancisco/review3308.json
[14:18:12:594 @53 pool-2-thread-1: File path is input/reviews/SanFrancisco/review18320.json
[14:18:12:596 @53 pool-2-thread-3: File path is input/reviews/SanFrancisco/review11793.json
[14:18:12:597 @53 pool-2-thread-2: File path is input/reviews/SanFrancisco/review3552.json
[14:18:12:600 @53 pool-2-thread-2: File path is input/reviews/SanFrancisco/review578899.json
